source_term	standard_korean	reference_japanese	reference_chinese	category	forbidden_terms	notes
Clear Selected Item Set	선택한 아이템 집합 지우기	選択したアイテムセットの消去	清除选定的物品集合	term		
Clear stale and unused cache files	오래되었거나 사용하지 않는 캐시 파일 삭제	不要な、使われていないキャッシュをクリアします	将陈旧及未使用的缓存文件清除	term		
Clear the log area	로그 영역 지우기	ログを消去します	清除日志区域	term		
Copy edge terrain	가장자리 지형 복사	端の地形をコピー	复制边界地形	term		
Copy the full report to clipboard	전체 보고서를 클립보드에 복사	リポートを全てクリップボードにコピーします	将完整的报告复制到剪贴板	term		
Copy this log to clipboard	이 로그를 클립보드에 복사	ログをクリップボードにコピーします	将此日志复制到剪贴板	term		
Copy this path to clipboard	이 경로를 클립보드에 복사	パスをクリップボードにコピーします	将路径复制到剪贴板	term		
Copy this report to clipboard	이 보고서를 클립보드에 복사	このリポートをクリップボードにコピーします	将此报告复制到剪贴板	term		
Defeat Glonoin, the Shorbear clan leader	쇼어베어(Shorbear) 부족장 글로노인(Glonoin)을 물리치세요	Shorbear クランの指導者 Glonoin を倒す	击败格罗诺因，矮熊氏族首领	term		
Defeat Urza Nalmath, the bandit leader	도적 우두머리 우르자(Urza) 날마스를 물리치세요	無法者のリーダー、Urza Nalmath を倒す	击败土匪首领，乌扎·纳尔马什	term		
Defeat all Death Knights first	먼저 모든 죽음의 기사를 물리치십시오	最初に全ての死の騎士を倒す	首先击败所有死亡骑士	term		
Defeat all drake leaders	모든 드레이크 지도자를 물리치십시오	全てのドレークのリーダーを倒す	击败所有龙人首领	term		
Defeat either of the enemy leaders	적 지도자 중 하나를 물리치십시오	どちらかの敵のリーダーを倒す	击败任意一名敌方首领	term		
Defeat one more enemy unit	적 유닛을 하나 더 물리치세요	$units_to_slay 体以上のユニットを倒す	再击败一个敌方单位	term		
Defeat the Lich-Lord Aimucasur	리치 군주 아이무카수르(Aimucasur)를 물리치십시오	リッチの王 Aimucasur を倒す	击败巫妖王艾姆卡苏尔	term		
Defeat the sanctum guard	성소 경비병을 물리치십시오	聖域の守護者を倒す	击败密室守卫	term		
Defeat the southern necromancer	남쪽의 강령술사를 물리치십시오	南のネクロマンサーを倒す	击败南面的死灵法师	term		
Defeat the spirits	영혼들을 물리치십시오	魂達を倒す	击败鬼魂	term		
Destroy all the undead units	모든 언데드 유닛을 처치하십시오	全てのアンデッドユニットを倒す	摧毁所有的亡灵单位	term		
Find Gweddry, Dacyn and Owaec	그웨드리, 다친, 오와에크(Owaec)를 찾으세요	GweddryとDacyn、Owaecを見つける	找到格威德利、达辛和欧瓦埃克	term		
Find Label or Unit	레이블 또는 유닛 찾기	ラベルまたはユニットの検索	查找标签或单位	term		
Find Server Application	서버 애플리케이션 찾기	サーバープログラムの探索	查找服务器应用	term		
